Season,RoundNumber,GrandPrix,CornerNumber,Direction,CenterX,CenterY,Radius,Equation
2019,4,Azerbaijan Grand Prix,18.0,Right,-11557.553009259176,-10337.583143939466,1472.5401862234837,(x - -11557.55)^2 + (y - -10337.58)^2 = 2168374.60
2019,4,Azerbaijan Grand Prix,19.0,Left,-11755.872198745808,-7248.30925654675,939.5012891855539,(x - -11755.87)^2 + (y - -7248.31)^2 = 882662.67
2019,4,Azerbaijan Grand Prix,20.0,Right,-9716.781220918336,-6863.547110791793,965.8218755245664,(x - -9716.78)^2 + (y - -6863.55)^2 = 932811.90
2019,4,Azerbaijan Grand Prix,21.0,Right,-6323.0028534555895,-6848.830325283201,3003.3389556164893,(x - -6323.00)^2 + (y - -6848.83)^2 = 9020044.88
2019,5,Spanish Grand Prix,1.0,Right,-3844.0867829722424,-6806.274566456107,500.7455128114416,(x - -3844.09)^2 + (y - -6806.27)^2 = 250746.07
2019,5,Spanish Grand Prix,2.0,Left,-4591.608942249644,-7677.9972945055715,667.2307999589319,(x - -4591.61)^2 + (y - -7678.00)^2 = 445196.94
2019,5,Spanish Grand Prix,3.0,Right,-6111.99825030979,-6311.77593332009,1386.6906055100524,(x - -6112.00)^2 + (y - -6311.78)^2 = 1922910.84
2019,5,Spanish Grand Prix,4.0,Right,-5315.773065695229,-3954.4187299430846,761.5809194472954,(x - -5315.77)^2 + (y - -3954.42)^2 = 580005.50
2019,5,Spanish Grand Prix,5.0,Left,-5463.820437376823,-6190.958660683442,359.86169099495663,(x - -5463.82)^2 + (y - -6190.96)^2 = 129500.44
2019,5,Spanish Grand Prix,6.0,Left,-5011.132968678096,-3963.6571149292554,2214.6698847726157,(x - -5011.13)^2 + (y - -3963.66)^2 = 4904762.70
2019,5,Spanish Grand Prix,7.0,Left,-3046.1270148577228,-4239.110654131348,410.8967998031556,(x - -3046.13)^2 + (y - -4239.11)^2 = 168836.18
2019,5,Spanish Grand Prix,8.0,Right,-2561.338202871175,-3001.7396252593503,897.6860290901263,(x - -2561.34)^2 + (y - -3001.74)^2 = 805840.21
2019,5,Spanish Grand Prix,9.0,Right,-3175.7173728321523,-1407.9302342972703,943.067220821766,(x - -3175.72)^2 + (y - -1407.93)^2 = 889375.78
